first_payment_year,loan_count,current_balance,pool_balance_share_pct,avg_months_since_first_payment,weighted_avg_credit_score,weighted_avg_pti_pct,avg_remaining_term_months,delinquency_30_plus_pct,delinquency_60_plus_pct,delinquency_90_plus_pct,charged_off_principal
2018,6,34573.96,0.0,72.7,591.7,10.06,5.5,37.1131,37.1131,0.0,0.0
2019,1390,8877280.48,0.83,61.0,491.0,10.93,11.9,6.6549,0.7796,0.4803,0.0
2020,679,4456696.71,0.42,58.7,481.1,11.34,13.7,7.8289,0.7322,0.5077,0.0
2021,35,334389.08,0.03,39.5,541.3,11.69,31.8,9.0192,0.0,0.0,0.0
2022,68,910936.81,0.09,28.9,599.1,12.54,44.2,4.5303,0.0,0.0,17134.4
2023,183,3198460.62,0.3,15.8,588.7,12.54,57.6,7.4623,1.4666,1.0241,31722.09
2024,37137,851362676.25,79.65,1.2,599.1,10.98,71.0,1.1457,0.158,0.0544,20776.45
2025,8698,199749156.02,18.69,-1.2,608.6,10.06,73.6,0.0,0.0,0.0,0.0
